Texas Education Agency,,,,,,,,,,,,,,
2018-19 STAAR Performance (All Students),,,,,,,,,,,,,,
FLORESVILLE ISD (247901) - WILSON COUNTY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,State,Region 20,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed","Econ
Disadv",EB/EL
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,
At Masters Grade Level,2019,36%,32%,26%,*,19%,41%,*,*,*,50%,5%,15%,0%
,2018,31%,28%,23%,40%,19%,32%,*,*,-,20%,0%,13%,7%
End of Course Biology,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,87%,86%,90%,*,87%,97%,*,*,*,100%,57%,86%,61%
,2018,86%,86%,86%,*,81%,97%,*,*,-,91%,47%,77%,44%
At Meets Grade Level or Above,2019,60%,60%,66%,*,59%,88%,*,*,*,67%,16%,55%,22%
,2018,57%,57%,61%,*,53%,74%,*,*,-,82%,16%,49%,19%
At Masters Grade Level,2019,24%,25%,28%,*,22%,44%,*,*,*,50%,3%,20%,6%
,2018,23%,23%,24%,*,18%,34%,*,*,-,55%,0%,12%,0%
End of Course U.S. History,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,92%,93%,91%,*,91%,93%,*,80%,*,*,69%,87%,43%
,2018,91%,92%,89%,80%,87%,94%,*,-,*,100%,56%,81%,83%
At Meets Grade Level or Above,2019,72%,74%,71%,*,68%,80%,*,80%,*,*,36%,60%,14%
,2018,69%,70%,67%,40%,62%,78%,*,-,*,40%,12%,53%,33%
At Masters Grade Level,2019,44%,47%,44%,*,38%,56%,*,80%,*,*,12%,27%,0%
,2018,40%,41%,38%,20%,31%,51%,*,-,*,40%,3%,24%,17%
All Grades All Subjects,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,77%,75%,75%,70%,71%,82%,76%,89%,100%,78%,40%,67%,60%
,2018,76%,74%,78%,64%,75%,85%,73%,77%,*,89%,43%,70%,58%
At Meets Grade Level or Above,2019,49%,46%,45%,31%,40%,57%,38%,59%,50%,52%,18%,35%,24%
,2018,47%,45%,48%,41%,43%,57%,50%,58%,*,65%,20%,37%,24%
At Masters Grade Level,2019,23%,21%,19%,9%,16%,26%,9%,30%,7%,24%,4%,12%,9%
,2018,21%,20%,20%,19%,17%,27%,15%,42%,*,35%,4%,12%,7%
All Grades ELA/Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,73%,72%,70%,63%,66%,78%,68%,92%,*,74%,26%,61%,50%
,2018,73%,72%,73%,59%,70%,80%,44%,67%,*,88%,31%,64%,48%
At Meets Grade Level or Above,2019,47%,45%,42%,28%,37%,53%,21%,42%,*,47%,13%,31%,20%
,2018,46%,44%,44%,38%,39%,52%,22%,53%,*,67%,15%,33%,16%
At Masters Grade Level,2019,20%,18%,15%,6%,13%,21%,11%,8%,*,16%,3%,10%,6%
,2018,19%,18%,17%,14%,14%,22%,11%,27%,*,33%,1%,10%,3%
All Grades Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,78%,79%,77%,77%,85%,83%,100%,*,78%,51%,73%,78%
,2018,80%,77%,82%,62%,80%,88%,89%,100%,-,92%,60%,76%,71%
At Meets Grade Level or Above,2019,51%,47%,46%,32%,41%,57%,50%,73%,*,48%,21%,36%,32%
,2018,48%,45%,49%,38%,44%,58%,67%,63%,-,72%,30%,39%,36%
At Masters Grade Level,2019,26%,23%,19%,5%,17%,25%,8%,45%,*,26%,4%,14%,13%
,2018,23%,21%,22%,23%,18%,28%,11%,63%,-,38%,7%,15%,15%
All Grades Writing,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,67%,64%,59%,63%,56%,63%,*,*,*,80%,25%,51%,45%
,2018,65%,62%,66%,60%,64%,68%,*,*,-,73%,28%,56%,44%
At Meets Grade Level or Above,2019,38%,34%,29%,25%,27%,32%,*,*,*,40%,13%,22%,13%
,2018,40%,38%,38%,20%,35%,45%,*,*,-,55%,18%,29%,19%
