Texas Education Agency,,,,,,,,,,,,,,
2022-23 STAAR Performance (All Students),,,,,,,,,,,,,,
FLORESVILLE ISD (247901) - WILSON COUNTY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,State,Region 20,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed","Econ
Disadv",EB/EL
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,93%,93%,96%,*,95%,98%,*,*,*,100%,84%,92%,95%
,2022,89%,89%,90%,*,89%,93%,-,*,-,100%,60%,89%,64%
At Meets Grade Level or Above,2023,69%,69%,70%,*,66%,78%,*,*,*,67%,28%,60%,45%
,2022,67%,67%,62%,*,56%,75%,-,*,-,100%,40%,54%,27%
At Masters Grade Level,2023,37%,38%,34%,*,33%,40%,*,*,*,33%,16%,25%,9%
,2022,41%,41%,25%,*,22%,34%,-,*,-,40%,16%,18%,0%
All Grades All Subjects,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,75%,73%,75%,80%,71%,83%,100%,79%,88%,80%,46%,66%,61%
,2022,73%,71%,71%,71%,67%,79%,88%,89%,90%,79%,39%,62%,53%
At Meets Grade Level or Above,2023,48%,46%,44%,44%,39%,56%,67%,61%,63%,59%,21%,34%,28%
,2022,47%,44%,42%,40%,37%,52%,50%,67%,70%,61%,19%,31%,22%
At Masters Grade Level,2023,19%,17%,15%,19%,12%,22%,17%,24%,13%,24%,4%,10%,6%
,2022,23%,21%,18%,14%,14%,25%,0%,31%,40%,32%,6%,11%,9%
All Grades ELA/Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,76%,74%,75%,78%,72%,80%,*,79%,100%,78%,39%,67%,60%
,2022,74%,73%,71%,74%,67%,79%,*,87%,*,80%,35%,62%,47%
At Meets Grade Level or Above,2023,52%,50%,47%,50%,42%,58%,*,71%,67%,61%,19%,35%,29%
,2022,52%,50%,48%,47%,44%,58%,*,73%,*,64%,19%,37%,23%
At Masters Grade Level,2023,20%,17%,15%,22%,12%,20%,*,21%,17%,28%,2%,9%,6%
,2022,25%,23%,21%,21%,17%,28%,*,27%,*,34%,6%,14%,9%
All Grades Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,74%,71%,72%,78%,66%,84%,*,70%,80%,81%,47%,63%,63%
,2022,71%,68%,69%,68%,65%,78%,*,83%,*,76%,39%,59%,59%
At Meets Grade Level or Above,2023,44%,40%,41%,38%,34%,54%,*,50%,60%,60%,19%,31%,30%
,2022,41%,36%,36%,29%,32%,44%,*,58%,*,51%,17%,25%,23%
At Masters Grade Level,2023,18%,15%,15%,13%,11%,24%,*,30%,0%,26%,4%,10%,8%
,2022,20%,16%,15%,11%,12%,21%,*,42%,*,24%,5%,9%,10%
All Grades Science,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,76%,74%,77%,94%,72%,89%,*,83%,*,78%,52%,71%,60%
